"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"Arrdc1","OK","negbinomial.size",0.114678691328758,0.313742532966324,"Arrdc1",72,TRUE
"Zmynd19","OK","negbinomial.size",0.691808558373748,0.843155896471616,"Zmynd19",34,FALSE
"Dph7","OK","negbinomial.size",0.190337314462477,0.426754691049722,"Dph7",34,FALSE
"Mrpl41","OK","negbinomial.size",0.917787070020749,0.962172521985075,"Mrpl41",183,TRUE
"Pnpla7","OK","negbinomial.size",0.868664936528287,0.941053681238978,"Pnpla7",20,FALSE
"Nsmf","OK","negbinomial.size",0.0952076250235268,0.279164984327123,"Nsmf",99,TRUE
"Nelfb","OK","negbinomial.size",0.332853883514803,0.586796072707647,"Nelfb",175,TRUE
"Tubb4b","OK","negbinomial.size",1.30237793452124e-08,3.02162466547516e-07,"Tubb4b",465,TRUE
"Ndor1","OK","negbinomial.size",0.451906694378131,0.684240834644148,"Ndor1",25,FALSE
"Tmem203","OK","negbinomial.size",0.0715465362372805,0.232168556626322,"Tmem203",113,TRUE
"Tprn","OK","negbinomial.size",0.711956001398254,0.855844126975846,"Tprn",14,FALSE
"Ssna1","OK","negbinomial.size",0.00397868782414935,0.0268747292088111,"Ssna1",296,TRUE
"Anapc2","OK","negbinomial.size",0.714930656219569,0.857019324814409,"Anapc2",224,TRUE
"Man1b1","OK","negbinomial.size",0.900716126754503,0.95602751757665,"Man1b1",85,TRUE
"Dpp7","OK","negbinomial.size",0.00408798880682328,0.0274970003416937,"Dpp7",117,TRUE
"Uap1l1","OK","negbinomial.size",0.0294064495474294,0.126159522828673,"Uap1l1",249,TRUE
"Entpd2","OK","negbinomial.size",0.0887991715277938,0.266921544029093,"Entpd2",102,TRUE
"Npdc1","OK","negbinomial.size",0.918778991439209,0.962317728579099,"Npdc1",620,TRUE
"Abca2","OK","negbinomial.size",0.336549571117218,0.590579325299978,"Abca2",85,TRUE
"BC029214","OK","negbinomial.size",0.900872814746338,0.95602751757665,"BC029214",250,TRUE
"Fbxw5","OK","negbinomial.size",0.877965078132325,0.945099455884594,"Fbxw5",69,TRUE
"Traf2","OK","negbinomial.size",0.146702300271265,0.367526487109278,"Traf2",76,TRUE
"Edf1","OK","negbinomial.size",0.0428382928483836,0.165590172355635,"Edf1",610,TRUE
"Phpt1","OK","negbinomial.size",0.0043819328002386,0.0291072548663152,"Phpt1",343,TRUE
"Rabl6","OK","negbinomial.size",0.213953981845758,0.456505773146147,"Rabl6",196,TRUE
"Tmem141","OK","negbinomial.size",0.0707427157430953,0.230783951271361,"Tmem141",51,TRUE
"Bmyc","OK","negbinomial.size",0.884309844739321,0.948271577167554,"Bmyc",176,TRUE
"Camsap1","OK","negbinomial.size",0.909397564714139,0.959396451721582,"Camsap1",92,TRUE
"Ubac1","OK","negbinomial.size",0.364860403404948,0.615638081212985,"Ubac1",129,TRUE
"Nacc2","OK","negbinomial.size",0.814882480993418,0.911947561131287,"Nacc2",140,TRUE
"C330006A16Rik","OK","negbinomial.size",0.166045988860283,0.395108934290354,"C330006A16Rik",101,TRUE
"Qsox2","OK","negbinomial.size",0.579160839592776,0.775675435457948,"Qsox2",81,TRUE
"Gpsm1","OK","negbinomial.size",0.0665520375883762,0.221893818859601,"Gpsm1",93,TRUE
"Dnlz","OK","negbinomial.size",0.511495077260335,0.727387542611589,"Dnlz",263,TRUE
"Snapc4","OK","negbinomial.size",0.466561091487355,0.695437017877239,"Snapc4",13,FALSE
"Sdccag3","OK","negbinomial.size",0.162114585514085,0.38973433729,"Sdccag3",154,TRUE
"Pmpca","OK","negbinomial.size",0.837690985953135,0.92562478448963,"Pmpca",110,TRUE
"Inpp5e","OK","negbinomial.size",0.753117231066293,0.881940030511933,"Inpp5e",31,FALSE
"Sec16a","OK","negbinomial.size",0.955011737709571,0.97885864198056,"Sec16a",75,TRUE
"Egfl7","OK","negbinomial.size",0.0123033940927661,0.0656845327315565,"Egfl7",15,FALSE
"Agpat2","OK","negbinomial.size",0.00038702913537536,0.00377791680402115,"Agpat2",169,TRUE
"Fam69b","OK","negbinomial.size",0.74848677639342,0.879289528909179,"Fam69b",78,TRUE
"Surf6","OK","negbinomial.size",0.311720152158041,0.565506884423347,"Surf6",43,TRUE
"Med22","OK","negbinomial.size",0.764446808367553,0.887425507679598,"Med22",36,FALSE
